Fecha,Rango edad,Número de hombres,Número mujeres
['15/08/2017 07:00:01'],15-19,2421,2217
['15/08/2017 07:00:01'],20-24,2159,1981
['15/08/2017 07:00:01'],25-29,2351,2514
['15/08/2017 07:00:01'],30-34,2960,3188
['15/08/2017 07:00:01'],35-39,3954,4257
['15/08/2017 07:00:01'],40-44,4432,4574
['15/08/2017 07:00:01'],45-49,3791,3834
['15/08/2017 07:00:01'],50-54,3099,3317
['15/08/2017 07:00:01'],55-59,2528,2861
['15/08/2017 07:00:01'],60-64,2096,2471
['15/08/2017 07:00:01'],65-69,2114,2347
['15/08/2017 07:00:01'],70-74,1579,1677
['15/08/2017 07:00:01'],75-79,887,976
['15/08/2017 07:00:01'],80-84,614,798
['15/08/2017 07:00:01'],85-89,349,563
['15/08/2017 07:00:01'],90-94,113,305
['15/08/2017 07:00:01'],95-99,22,92
['15/08/2017 07:00:01'],100-104,2,11
['01/08/2017 07:00:01'],0-4,2402,2301
['01/08/2017 07:00:01'],5-9,2861,2677
['01/08/2017 07:00:01'],10-14,2631,2347
['01/08/2017 07:00:01'],15-19,2418,2215
['01/08/2017 07:00:01'],20-24,2155,1971
['01/08/2017 07:00:01'],25-29,2343,2496
['01/08/2017 07:00:01'],30-34,2950,3173
['01/08/2017 07:00:01'],35-39,3938,4243
['01/08/2017 07:00:01'],40-44,4425,4562
['01/08/2017 07:00:01'],45-49,3782,3827
['01/08/2017 07:00:01'],50-54,3096,3312
['01/08/2017 07:00:01'],55-59,2526,2853
['01/08/2017 07:00:01'],60-64,2095,2468
['01/08/2017 07:00:01'],65-69,2111,2345
['01/08/2017 07:00:01'],70-74,1576,1677
['01/08/2017 07:00:01'],75-79,887,976
['01/08/2017 07:00:01'],80-84,614,796
['01/08/2017 07:00:01'],85-89,349,563
['01/08/2017 07:00:01'],90-94,113,305
['01/08/2017 07:00:01'],95-99,22,92
['01/08/2017 07:00:01'],100-104,2,11
['15/07/2017 07:00:01'],0-4,2388,2282
['15/07/2017 07:00:01'],5-9,2851,2666
['15/07/2017 07:00:01'],10-14,2621,2342
['15/07/2017 07:00:01'],15-19,2413,2209
['15/07/2017 07:00:01'],20-24,2140,1960
['15/07/2017 07:00:01'],25-29,2330,2476
['15/07/2017 07:00:01'],30-34,2937,3161
['15/07/2017 07:00:01'],35-39,3918,4225
['15/07/2017 07:00:01'],40-44,4408,4552
['15/07/2017 07:00:01'],45-49,3773,3819
['15/07/2017 07:00:01'],50-54,3089,3306
['15/07/2017 07:00:01'],55-59,2522,2851
['15/07/2017 07:00:01'],60-64,2093,2466
['15/07/2017 07:00:01'],65-69,2110,2343
['15/07/2017 07:00:01'],70-74,1576,1677
['15/07/2017 07:00:01'],75-79,886,976
['15/07/2017 07:00:01'],80-84,612,795
['15/07/2017 07:00:01'],85-89,348,565
['15/07/2017 07:00:01'],90-94,113,304
['15/07/2017 07:00:01'],95-99,22,91
['15/07/2017 07:00:01'],100-104,2,10
['01/07/2017 07:00:01'],0-4,2372,2266
['01/07/2017 07:00:01'],5-9,2865,2669
['01/07/2017 07:00:01'],10-14,2622,2351
['01/07/2017 07:00:01'],15-19,2417,2214
['01/07/2017 07:00:01'],20-24,2147,1960
['01/07/2017 07:00:01'],25-29,2334,2492
['01/07/2017 07:00:01'],30-34,2951,3175
['01/07/2017 07:00:01'],35-39,3928,4238
['01/07/2017 07:00:01'],40-44,4420,4564
['01/07/2017 07:00:01'],45-49,3785,3823
['01/07/2017 07:00:01'],50-54,3095,3310
['01/07/2017 07:00:01'],55-59,2524,2853
['01/07/2017 07:00:01'],60-64,2099,2475
['01/07/2017 07:00:01'],65-69,2113,2347
['01/07/2017 07:00:01'],70-74,1579,1678
['01/07/2017 07:00:01'],75-79,889,977
['01/07/2017 07:00:01'],80-84,614,796
['01/07/2017 07:00:01'],85-89,352,577
['01/07/2017 07:00:01'],90-94,114,308
['01/07/2017 07:00:01'],95-99,22,92
['01/07/2017 07:00:01'],100-104,2,11
['15/06/2017 07:00:01'],0-4,2354,2252
['15/06/2017 07:00:01'],5-9,2863,2662
['15/06/2017 07:00:01'],10-14,2616,2349
['15/06/2017 07:00:01'],15-19,2411,2212
['15/06/2017 07:00:01'],20-24,2144,1952
['15/06/2017 07:00:01'],25-29,2323,2477
['15/06/2017 07:00:01'],30-34,2929,3164
['15/06/2017 07:00:01'],35-39,3920,4229
['15/06/2017 07:00:01'],40-44,4406,4557
['15/06/2017 07:00:01'],45-49,3782,3818
['15/06/2017 07:00:01'],50-54,3089,3307
['15/06/2017 07:00:01'],55-59,2523,2852
['15/06/2017 07:00:01'],60-64,2096,2472
['15/06/2017 07:00:01'],65-69,2110,2349
['15/06/2017 07:00:01'],70-74,1577,1678
['15/06/2017 07:00:01'],75-79,887,976
['15/06/2017 07:00:01'],80-84,618,796
['15/06/2017 07:00:01'],85-89,350,574
['15/06/2017 07:00:01'],90-94,113,308
['15/06/2017 07:00:01'],95-99,23,93
['15/06/2017 07:00:01'],100-104,2,11
['01/06/2017 07:00:01'],0-4,2324,2235
['01/06/2017 07:00:01'],5-9,2869,2671
['01/06/2017 07:00:01'],10-14,2622,2360
['01/06/2017 07:00:01'],15-19,2419,2212
